customer_id,age,income,home_ownership,employment_length,age_category,income_category,employment_stability
C000001,22,59000,RENT,123.0,young,medium,stable
C000002,21,9600,OWN,5.0,young,low,stable
C000003,25,9600,MORTGAGE,1.0,adult,low,unstable
C000004,23,65500,RENT,4.0,young,medium,moderate
C000005,24,54400,RENT,8.0,young,medium,stable
C000006,21,9900,OWN,2.0,young,low,moderate
C000007,26,77100,RENT,8.0,adult,high,stable
C000008,24,78956,RENT,5.0,young,high,stable
C000009,24,83000,RENT,8.0,young,high,stable
C000010,21,10000,OWN,6.0,young,low,stable
C000011,22,85000,RENT,6.0,young,high,stable
C000012,21,10000,OWN,2.0,young,low,moderate
C000013,23,95000,RENT,2.0,young,high,moderate
C000014,26,108160,RENT,4.0,adult,high,moderate
C000015,23,115000,RENT,2.0,young,high,moderate
C000016,23,500000,MORTGAGE,7.0,young,high,stable
C000017,23,120000,RENT,0.0,young,high,unstable
C000018,23,92111,RENT,7.0,young,high,stable
C000019,23,113000,RENT,8.0,young,high,stable
C000020,24,10800,MORTGAGE,8.0,young,low,stable
C000021,25,162500,RENT,2.0,adult,high,moderate
C000022,25,137000,RENT,9.0,adult,high,stable
C000023,22,65000,RENT,4.0,young,medium,moderate
C000024,24,10980,OWN,0.0,young,low,unstable
C000025,22,80000,RENT,3.0,young,high,moderate
C000026,24,67746,RENT,8.0,young,medium,stable
C000027,21,11000,MORTGAGE,3.0,young,low,moderate
C000028,23,11000,OWN,0.0,young,low,unstable
C000029,24,65000,RENT,6.0,young,medium,stable
C000030,21,11389,OTHER,5.0,young,low,stable
C000031,21,11520,OWN,5.0,young,low,stable
C000032,25,120000,RENT,2.0,adult,high,moderate
C000033,26,95000,RENT,7.0,adult,high,stable
C000034,25,306000,RENT,2.0,adult,high,moderate
C000035,26,300000,MORTGAGE,10.0,adult,high,stable
C000036,21,12000,OWN,5.0,young,low,stable
C000037,22,48000,RENT,1.0,young,medium,unstable
C000038,24,64000,RENT,8.0,young,medium,stable
C000039,25,75000,RENT,4.0,adult,high,moderate
C000040,23,71500,RENT,3.0,young,high,moderate
C000041,26,62050,RENT,6.0,adult,medium,stable
C000042,24,12000,OWN,4.0,young,low,moderate
C000043,26,300000,MORTGAGE,10.0,adult,high,stable
C000044,23,300000,OWN,1.0,young,high,unstable
C000045,26,300000,OWN,9.0,adult,high,stable
C000046,26,300000,MORTGAGE,0.0,adult,high,unstable
C000047,25,300000,MORTGAGE,9.0,adult,high,stable
C000048,26,80690,RENT,8.0,adult,high,stable
C000049,22,66300,RENT,4.0,young,medium,moderate
C000050,26,89028,RENT,0.0,adult,high,unstable
C000051,24,78000,RENT,4.0,young,high,moderate
C000052,23,78000,RENT,7.0,young,high,stable
C000053,23,92004,RENT,6.0,young,high,stable
C000054,23,97000,RENT,7.0,young,high,stable
C000055,25,120000,RENT,9.0,adult,high,stable
C000056,26,280000,RENT,4.0,adult,high,moderate
C000057,26,277104,RENT,0.0,adult,high,unstable
C000058,23,277000,OWN,3.0,young,high,moderate
C000059,25,128000,RENT,9.0,adult,high,stable
C000060,24,12000,OWN,2.0,young,low,moderate
C000061,21,131000,RENT,0.0,young,high,unstable
C000062,22,275000,OWN,6.0,young,high,stable
C000063,26,263000,MORTGAGE,0.0,adult,high,unstable
C000064,25,221850,MORTGAGE,9.0,adult,high,stable
C000065,22,70000,RENT,6.0,young,high,stable
C000066,22,12000,MORTGAGE,7.0,young,low,stable
C000067,26,260000,OWN,10.0,adult,high,stable
C000068,25,259000,MORTGAGE,9.0,adult,high,stable
C000069,24,255000,MORTGAGE,9.0,young,high,stable
C000070,25,250000,RENT,2.0,adult,high,moderate
C000071,25,12000,OWN,0.0,adult,low,unstable
C000072,22,56950,RENT,6.0,young,medium,stable
C000073,21,12000,OWN,6.0,young,low,stable
C000074,23,65000,RENT,2.0,young,medium,moderate
C000075,26,85000,RENT,2.0,adult,high,moderate
C000076,26,12000,OWN,2.0,adult,low,moderate
C000077,22,88000,RENT,6.0,young,high,stable
C000078,21,12000,OWN,0.0,young,low,unstable
C000079,22,12000,OWN,6.0,young,low,stable
C000080,24,83004,RENT,0.0,young,high,unstable
C000081,24,250000,RENT,2.0,young,high,moderate
C000082,144,250000,RENT,4.0,senior,high,moderate
C000083,25,100000,RENT,5.0,adult,high,stable
C000084,26,110000,RENT,10.0,adult,high,stable
C000085,26,12000,OWN,0.0,adult,low,unstable
C000086,22,108000,RENT,6.0,young,high,stable
C000087,23,151200,RENT,7.0,young,high,stable
C000088,24,69000,RENT,2.0,young,medium,moderate
C000089,21,12000,MORTGAGE,5.0,young,low,stable
C000090,22,70000,RENT,4.0,young,high,moderate
C000091,22,240000,OWN,6.0,young,high,stable
C000092,26,73200,RENT,5.0,adult,high,stable
C000093,24,83000,RENT,5.0,young,high,stable
C000094,24,73399,RENT,0.0,young,high,unstable
C000095,23,62500,RENT,7.0,young,medium,stable
C000096,23,120000,RENT,1.0,young,high,unstable
C000097,24,12360,OWN,2.0,young,low,moderate
C000098,22,60000,RENT,0.0,young,medium,unstable
C000099,25,234000,MORTGAGE,3.0,adult,high,moderate
C000100,24,234000,OWN,8.0,young,high,stable
C000101,26,234000,MORTGAGE,10.0,adult,high,stable
C000102,25,221004,MORTGAGE,6.0,adult,high,stable
C000103,26,232500,MORTGAGE,0.0,adult,high,unstable
C000104,25,230000,MORTGAGE,5.0,adult,high,stable
C000105,23,83000,RENT,7.0,young,high,stable
C000106,22,12600,MORTGAGE,,young,low,
C000107,25,12600,OWN,3.0,adult,low,moderate
C000108,21,42500,RENT,3.0,young,medium,moderate
C000109,24,41000,RENT,2.0,young,medium,moderate
C000110,25,12816,OWN,0.0,adult,low,unstable
C000111,24,12960,MORTGAGE,1.0,young,low,unstable
C000112,26,226000,MORTGAGE,4.0,adult,high,moderate
C000113,25,225000,MORTGAGE,0.0,adult,high,unstable
C000114,26,213000,MORTGAGE,6.0,adult,high,stable
C000115,24,225000,RENT,0.0,young,high,unstable
C000116,24,12960,MORTGAGE,0.0,young,low,unstable
C000117,23,12996,OWN,0.0,young,low,unstable
C000118,22,42000,RENT,6.0,young,medium,stable
C000119,26,48000,RENT,2.0,adult,medium,moderate
C000120,25,12996,OWN,1.0,adult,low,unstable
C000121,22,12996,OWN,1.0,young,low,unstable
C000122,25,42360,RENT,1.0,adult,medium,unstable
C000123,21,49000,RENT,4.0,young,medium,moderate
C000124,25,225000,MORTGAGE,0.0,adult,high,unstable
C000125,26,225000,RENT,1.0,adult,high,unstable
C000126,23,225000,RENT,8.0,young,high,stable
C000127,26,225000,MORTGAGE,2.0,adult,high,moderate
C000128,22,49464,RENT,5.0,young,medium,stable
C000129,23,50000,RENT,1.0,young,medium,unstable
C000130,25,50000,RENT,4.0,adult,medium,moderate
C000131,24,44000,RENT,2.0,young,medium,moderate
C000132,23,50000,RENT,1.0,young,medium,unstable
C000133,22,50004,RENT,0.0,young,medium,unstable
C000134,22,50004,RENT,3.0,young,medium,moderate
C000135,22,52000,RENT,2.0,young,medium,moderate
C000136,23,13200,OWN,3.0,young,low,moderate
C000137,24,220000,MORTGAGE,1.0,young,high,unstable
C000138,23,216000,MORTGAGE,5.0,young,high,stable
C000139,25,216000,MORTGAGE,2.0,adult,high,moderate
C000140,26,216000,MORTGAGE,10.0,adult,high,stable
C000141,23,215000,MORTGAGE,7.0,young,high,stable
C000142,26,215000,MORTGAGE,11.0,adult,high,stable
C000143,23,52000,RENT,1.0,young,medium,unstable
C000144,26,46000,RENT,2.0,adult,medium,moderate
C000145,22,53000,RENT,5.0,young,medium,stable
C000146,26,47000,RENT,0.0,adult,medium,unstable
C000147,23,47000,RENT,1.0,young,medium,unstable
C000148,23,13200,MORTGAGE,2.0,young,low,moderate
C000149,21,13200,OWN,0.0,young,low,unstable
C000150,22,210000,MORTGAGE,6.0,young,high,stable
C000151,26,210000,OWN,10.0,adult,high,stable
C000152,26,48000,RENT,5.0,adult,medium,stable
C000153,22,54996,RENT,6.0,young,medium,stable
C000154,24,55000,RENT,4.0,young,medium,moderate
C000155,23,55000,RENT,4.0,young,medium,moderate
C000156,23,55000,RENT,4.0,young,medium,moderate
C000157,24,55164,RENT,8.0,young,medium,stable
C000158,26,56000,RENT,4.0,adult,medium,moderate
C000159,24,203500,OWN,8.0,young,high,stable
C000160,23,190000,MORTGAGE,5.0,young,high,stable
C000161,23,13920,OWN,2.0,young,low,moderate
C000162,24,60000,RENT,0.0,young,medium,unstable
C000163,24,60000,RENT,2.0,young,medium,moderate
C000164,26,54000,RENT,7.0,adult,medium,stable
C000165,23,14000,OWN,2.0,young,low,moderate
C000166,24,200000,RENT,8.0,young,high,stable
C000167,24,200000,MORTGAGE,8.0,young,high,stable
C000168,21,200000,MORTGAGE,5.0,young,high,stable
C000169,25,54000,RENT,3.0,adult,medium,moderate
C000170,23,60000,RENT,3.0,young,medium,moderate
C000171,23,60000,RENT,7.0,young,medium,stable
C000172,21,60000,RENT,6.0,young,medium,stable
C000173,25,61959,RENT,9.0,adult,medium,stable
C000174,22,56400,RENT,2.0,young,medium,moderate
C000175,23,200000,MORTGAGE,7.0,young,high,stable
C000176,21,200000,MORTGAGE,2.0,young,high,moderate
