customer_id,credit_history_length,default_history,credit_history_category,has_default_history,financial_risk_level
C000001,3,Y,medium,1,high
C000002,2,N,short,0,medium
C000003,3,N,medium,0,medium
C000004,2,N,short,0,medium
C000005,4,Y,medium,1,high
C000006,2,N,short,0,medium
C000007,3,N,medium,0,medium
C000008,4,N,medium,0,medium
C000009,2,N,short,0,medium
C000010,3,N,medium,0,medium
C000011,4,N,medium,0,medium
C000012,2,N,short,0,medium
C000013,2,N,short,0,medium
C000014,4,N,medium,0,medium
C000015,4,N,medium,0,medium
C000016,3,N,medium,0,medium
C000017,4,N,medium,0,medium
C000018,4,N,medium,0,medium
C000019,4,N,medium,0,medium
C000020,2,N,short,0,medium
C000021,4,N,medium,0,medium
C000022,2,Y,short,1,high
C000023,4,N,medium,0,medium
C000024,3,N,medium,0,medium
C000025,4,Y,medium,1,high
C000026,3,N,medium,0,medium
C000027,3,Y,medium,1,high
C000028,3,N,medium,0,medium
C000029,3,N,medium,0,medium
C000030,2,Y,short,1,high
C000031,3,N,medium,0,medium
C000032,2,N,short,0,medium
C000033,3,Y,medium,1,high
C000034,3,N,medium,0,medium
C000035,4,N,medium,0,medium
C000036,4,N,medium,0,medium
C000037,2,N,short,0,medium
C000038,3,Y,medium,1,high
C000039,4,Y,medium,1,high
C000040,4,N,medium,0,medium
C000041,2,N,short,0,medium
C000042,3,N,medium,0,medium
C000043,4,N,medium,0,medium
C000044,2,Y,short,1,high
C000045,4,N,medium,0,medium
C000046,3,N,medium,0,medium
C000047,3,N,medium,0,medium
C000048,3,N,medium,0,medium
C000049,3,N,medium,0,medium
C000050,3,N,medium,0,medium
C000051,4,Y,medium,1,high
C000052,3,Y,medium,1,high
C000053,3,Y,medium,1,high
C000054,2,N,short,0,medium
C000055,4,N,medium,0,medium
C000056,3,Y,medium,1,high
C000057,3,N,medium,0,medium
C000058,4,N,medium,0,medium
C000059,4,N,medium,0,medium
C000060,3,Y,medium,1,high
C000061,4,N,medium,0,medium
C000062,2,N,short,0,medium
C000063,4,N,medium,0,medium
C000064,2,N,short,0,medium
C000065,3,N,medium,0,medium
C000066,3,Y,medium,1,high
C000067,3,N,medium,0,medium
C000068,2,Y,short,1,high
C000069,2,N,short,0,medium
C000070,4,N,medium,0,medium
C000071,3,N,medium,0,medium
C000072,2,N,short,0,medium
C000073,3,Y,medium,1,high
C000074,2,N,short,0,medium
C000075,3,N,medium,0,medium
C000076,3,N,medium,0,medium
C000077,3,N,medium,0,medium
C000078,4,Y,medium,1,high
C000079,2,N,short,0,medium
C000080,4,Y,medium,1,high
C000081,3,Y,medium,1,high
C000082,3,N,medium,0,medium
C000083,3,N,medium,0,medium
C000084,2,N,short,0,medium
C000085,4,N,medium,0,medium
C000086,4,N,medium,0,medium
C000087,2,N,short,0,medium
C000088,2,N,short,0,medium
C000089,3,Y,medium,1,high
C000090,3,Y,medium,1,high
C000091,2,N,short,0,medium
C000092,2,Y,short,1,high
C000093,2,Y,short,1,high
C000094,3,N,medium,0,medium
C000095,2,N,short,0,medium
C000096,3,N,medium,0,medium
C000097,3,N,medium,0,medium
C000098,3,N,medium,0,medium
C000099,4,Y,medium,1,high
C000100,4,N,medium,0,medium
C000101,3,N,medium,0,medium
C000102,3,Y,medium,1,high
