application_id,customer_id,loan_amount,loan_intent,loan_grade,loan_interest_rate,loan_percent_income,loan_status,loan_amount_category,interest_rate_category,income_burden_category,loan_grade_score
A000001,C000001,35000,PERSONAL,D,16.02,0.59,1,large,high,high,4
A000002,C000002,1000,EDUCATION,B,11.14,0.1,0,small,medium,low,2
A000003,C000003,5500,MEDICAL,C,12.87,0.57,1,medium,medium,high,3
A000004,C000004,35000,MEDICAL,C,15.23,0.53,1,large,high,high,3
A000005,C000005,35000,MEDICAL,C,14.27,0.55,1,large,medium,high,3
A000006,C000006,2500,VENTURE,A,7.14,0.25,1,small,low,medium,1
A000007,C000007,35000,EDUCATION,B,12.42,0.45,1,large,medium,medium,2
A000008,C000008,35000,MEDICAL,B,11.11,0.44,1,large,medium,medium,2
A000009,C000009,35000,PERSONAL,A,8.9,0.42,1,large,low,medium,1
A000010,C000010,1600,VENTURE,D,14.74,0.16,1,small,medium,low,4
A000011,C000011,35000,VENTURE,B,10.37,0.41,1,large,medium,medium,2
A000012,C000012,4500,HOMEIMPROVEMENT,A,8.63,0.45,1,small,low,medium,1
A000013,C000013,35000,VENTURE,A,7.9,0.37,1,large,low,medium,1
A000014,C000014,35000,EDUCATION,E,18.39,0.32,1,large,high,medium,5
A000015,C000015,35000,EDUCATION,A,7.9,0.3,0,large,low,medium,1
A000016,C000016,30000,DEBTCONSOLIDATION,B,10.65,0.06,0,large,medium,low,2
A000017,C000017,35000,EDUCATION,A,7.9,0.29,0,large,low,medium,1
A000018,C000018,35000,MEDICAL,F,20.25,0.32,1,large,high,medium,6
A000019,C000019,35000,DEBTCONSOLIDATION,D,18.25,0.31,1,large,high,medium,4
A000020,C000020,1750,EDUCATION,B,10.99,0.16,1,small,medium,low,2
A000021,C000021,35000,VENTURE,A,7.49,0.22,0,large,low,medium,1
A000022,C000022,34800,PERSONAL,E,16.77,0.25,0,large,high,medium,5
A000023,C000023,34000,EDUCATION,D,17.58,0.52,1,large,high,high,4
A000024,C000024,1500,PERSONAL,A,7.29,0.14,0,small,low,low,1
A000025,C000025,33950,PERSONAL,D,14.54,0.42,1,large,medium,medium,4
A000026,C000026,33000,HOMEIMPROVEMENT,C,12.68,0.49,1,large,medium,medium,3
A000027,C000027,4575,VENTURE,E,17.74,0.42,1,small,high,medium,5
A000028,C000028,1400,PERSONAL,A,9.32,0.13,0,small,low,low,1
A000029,C000029,32500,HOMEIMPROVEMENT,B,9.99,0.5,1,large,low,high,2
A000030,C000030,4000,EDUCATION,C,12.84,0.35,1,small,medium,medium,3
A000031,C000031,2000,MEDICAL,B,11.12,0.17,1,small,medium,low,2
A000032,C000032,32000,VENTURE,A,6.62,0.27,0,large,low,medium,1
A000033,C000033,31050,HOMEIMPROVEMENT,C,14.17,0.33,1,large,medium,medium,3
A000034,C000034,24250,DEBTCONSOLIDATION,C,13.85,0.08,0,large,medium,low,3
A000035,C000035,7800,MEDICAL,C,13.49,0.03,0,medium,medium,low,3
A000036,C000036,2500,EDUCATION,A,7.51,0.21,1,small,low,medium,1
A000037,C000037,30000,EDUCATION,E,18.39,0.63,1,large,high,high,5
A000038,C000038,30000,DEBTCONSOLIDATION,D,14.54,0.47,1,large,medium,medium,4
A000039,C000039,30000,HOMEIMPROVEMENT,D,16.89,0.4,1,large,high,medium,4
A000040,C000040,30000,DEBTCONSOLIDATION,D,,0.42,1,large,,medium,4
A000041,C000041,30000,MEDICAL,E,17.99,0.41,1,large,high,medium,5
A000042,C000042,2500,VENTURE,B,12.69,0.21,1,small,medium,medium,2
A000043,C000043,20000,VENTURE,A,7.88,0.07,0,medium,low,low,1
A000044,C000044,24250,EDUCATION,F,19.41,0.08,0,large,high,low,6
A000045,C000045,10000,HOMEIMPROVEMENT,B,10.38,0.03,0,medium,medium,low,2
A000046,C000046,25000,EDUCATION,D,15.33,0.08,0,large,high,low,4
A000047,C000047,18000,HOMEIMPROVEMENT,E,16.45,0.06,0,medium,high,low,5
A000048,C000048,30000,PERSONAL,A,7.49,0.37,1,large,low,medium,1
